mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
treechop,HT's TreeChop,0.19.0,TreeChop-1.20.1-forge-0.19.0-fixed.jar,,https://github.com/hammertater/treechop,https://github.com/hammertater/treechop/issues
skyvillages,Sky Villages,1.0.4,SkyVillages-1.0.4-1.19.2-1.20.1-forge-release.jar,,,
betterdungeons,YUNG's Better Dungeons,1.20-Forge-4.0.4,YungsBetterDungeons-1.20-Forge-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons,https://github.com/yungnickyoung/YUNGs-Better-Dungeons/issues
kuma_api,KumaAPI,20.1.8,kuma-api-forge-20.1.8+1.20.1.jar,,https://mods.twelveiterations.com/mc/kuma,https://github.com/TwelveIterationMods/Kuma/issues
betterwitchhuts,YUNG's Better Witch Huts,1.20-Forge-3.0.3,YungsBetterWitchHuts-1.20-Forge-3.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-witch-huts,https://github.com/yungnickyoung/YUNGs-Better-Witch-Huts/issues
beautify,Beautify,2.0.2,beautify-2.0.2.jar,,,
divine_weaponry,Divine Weaponry,1.6.0,Divine_Weaponry_v1.7_1.20.1.jar,,https://legacy.curseforge.com/minecraft/mc-mods/divine-weaponry,
playeranimator,Player Animator,1.0.2-rc1+1.20,player-animation-lib-forge-1.0.2-rc1+1.20.jar,,,
nethers_exoticism,Nether's Exoticism,1.2.8,nether-s-exoticism-1.20.1-1.2.8.jar,,https://www.curseforge.com/minecraft/mc-mods/nethers-exoticism,
illagerinvasion,Illager Invasion,8.0.5,IllagerInvasion-v8.0.5-1.20.1-Forge.jar,,https://github.com/Fuzss/illagerinvasion,https://github.com/Fuzss/illagerinvasion/issues
majruszsdifficulty,Majrusz's Progressive Difficulty,1.9.10,majruszs-difficulty-forge-1.20.1-1.9.10.jar,,https://modrinth.com/mod/majruszs-progressive-difficulty,https://github.com/Majrusz/MajruszsProgressiveDifficultyMod/issues
betteroceanmonuments,YUNG's Better Ocean Monuments,1.20-Forge-3.0.4,YungsBetterOceanMonuments-1.20-Forge-3.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-ocean-monuments,https://github.com/yungnickyoung/YUNGs-Better-Ocean-Monuments/issues
nerb,Not Enough Recipe Book,0.3,nerb-1.20.1-0.3-FORGE.jar,,,
hammerlib,HammerLib,20.1.32,HammerLib-1.20.1-20.1.32.jar,,https://modrinth.com/mod/PlkSuVtM,https://github.com/dragon-forge/HammerLib/issues
mcwwindows,Macaw's Windows,2.3.0,mcw-windows-2.3.0-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-windows,
